,xmin,ymin
259,-847358,-1047870
260,-847358,-1039678
261,-847358,-1031486
262,-847358,-1023294
263,-847358,-1015102
264,-847358,-1006910
265,-847358,-998718
266,-847358,-990526
267,-847358,-982334
268,-847358,-974142
269,-847358,-965950
270,-847358,-957758
271,-847358,-949566
272,-847358,-941374
273,-839166,-1211710
274,-839166,-1203518
275,-839166,-1195326
276,-839166,-1187134
277,-839166,-1178942
278,-839166,-1170750
279,-839166,-1162558
280,-839166,-1154366
281,-839166,-1146174
282,-839166,-1137982
283,-839166,-1129790
284,-839166,-1121598
285,-839166,-1113406
286,-839166,-1105214
287,-839166,-1097022
288,-839166,-1088830
289,-839166,-1080638
290,-839166,-1072446
291,-839166,-1064254
292,-839166,-1056062
293,-839166,-1047870
294,-839166,-1039678
295,-839166,-1031486
296,-839166,-1023294
297,-839166,-1015102
298,-839166,-1006910
299,-839166,-998718
300,-839166,-990526
301,-839166,-982334
302,-839166,-974142
303,-839166,-965950
304,-839166,-957758
305,-839166,-949566
306,-839166,-941374
307,-830974,-1211710
308,-830974,-1203518
309,-830974,-1195326
310,-830974,-1187134
311,-830974,-1178942
312,-830974,-1170750
313,-830974,-1162558
314,-830974,-1154366
315,-830974,-1146174
316,-830974,-1137982
317,-830974,-1129790
318,-830974,-1121598
319,-830974,-1113406
320,-830974,-1105214
321,-830974,-1097022
322,-830974,-1088830
323,-830974,-1080638
324,-830974,-1072446
325,-830974,-1064254
326,-830974,-1056062
327,-830974,-1047870
328,-830974,-1039678
329,-830974,-1031486
330,-830974,-1023294
331,-830974,-1015102
332,-830974,-1006910
333,-830974,-998718
334,-830974,-990526
335,-830974,-982334
336,-830974,-974142
337,-830974,-965950
338,-830974,-957758
339,-830974,-949566
340,-830974,-941374
341,-822782,-1211710
342,-822782,-1203518
343,-822782,-1195326
344,-822782,-1187134
345,-822782,-1178942
346,-822782,-1170750
347,-822782,-1162558
348,-822782,-1154366
349,-822782,-1146174
350,-822782,-1137982
351,-822782,-1129790
352,-822782,-1121598
353,-822782,-1113406
354,-822782,-1105214
355,-822782,-1097022
356,-822782,-1088830
357,-822782,-1080638
358,-822782,-1072446
359,-822782,-1064254
360,-822782,-1056062
361,-822782,-1047870
362,-822782,-1039678
363,-822782,-1031486
364,-822782,-1023294
365,-822782,-1015102
366,-822782,-1006910
367,-822782,-998718
368,-822782,-990526
369,-822782,-982334
370,-822782,-974142
371,-822782,-965950
372,-822782,-957758
373,-822782,-949566
374,-822782,-941374
375,-814590,-1211710
376,-814590,-1203518
377,-814590,-1195326
378,-814590,-1187134
379,-814590,-1178942
380,-814590,-1170750
381,-814590,-1162558
382,-814590,-1154366
383,-814590,-1146174
384,-814590,-1137982
385,-814590,-1129790
386,-814590,-1121598
387,-814590,-1113406
388,-814590,-1105214
389,-814590,-1097022
390,-814590,-1088830
391,-814590,-1080638
392,-814590,-1072446
393,-814590,-1064254
394,-814590,-1056062
395,-814590,-1047870
396,-814590,-1039678
397,-814590,-1031486
398,-814590,-1023294
399,-814590,-1015102
400,-814590,-1006910
401,-814590,-998718
402,-814590,-990526
403,-814590,-982334
404,-814590,-974142
405,-814590,-965950
406,-814590,-957758
407,-814590,-949566
408,-814590,-941374
409,-806398,-1211710
410,-806398,-1203518
411,-806398,-1195326
412,-806398,-1187134
413,-806398,-1178942
414,-806398,-1170750
415,-806398,-1162558
416,-806398,-1154366
417,-806398,-1146174
418,-806398,-1137982
419,-806398,-1129790
420,-806398,-1121598
421,-806398,-1113406
422,-806398,-1105214
423,-806398,-1097022
424,-806398,-1088830
425,-806398,-1080638
426,-806398,-1072446
427,-806398,-1064254
428,-806398,-1056062
429,-806398,-1047870
430,-806398,-1039678
431,-806398,-1031486
432,-806398,-1023294
433,-806398,-1015102
434,-806398,-1006910
435,-806398,-998718
436,-806398,-990526
437,-806398,-982334
438,-806398,-974142
439,-806398,-965950
440,-806398,-957758
441,-806398,-949566
442,-806398,-941374
443,-798206,-1211710
444,-798206,-1203518
445,-798206,-1195326
446,-798206,-1187134
447,-798206,-1178942
448,-798206,-1170750
449,-798206,-1162558
450,-798206,-1154366
451,-798206,-1146174
452,-798206,-1137982
453,-798206,-1129790
454,-798206,-1121598
455,-798206,-1113406
456,-798206,-1105214
457,-798206,-1097022
458,-798206,-1088830
459,-798206,-1080638
460,-798206,-1072446
461,-798206,-1064254
462,-798206,-1056062
463,-798206,-1047870
464,-798206,-1039678
465,-798206,-1031486
466,-798206,-1023294
467,-798206,-1015102
468,-798206,-1006910
469,-798206,-998718
470,-798206,-990526
471,-798206,-982334
472,-798206,-974142
473,-798206,-965950
474,-798206,-957758
475,-798206,-949566
476,-798206,-941374
477,-790014,-1211710
478,-790014,-1203518
479,-790014,-1195326
480,-790014,-1187134
481,-790014,-1178942
482,-790014,-1170750
483,-790014,-1162558
484,-790014,-1154366
485,-790014,-1146174
486,-790014,-1137982
487,-790014,-1129790
488,-790014,-1121598
489,-790014,-1113406
490,-790014,-1105214
491,-790014,-1097022
492,-790014,-1088830
493,-790014,-1080638
494,-790014,-1072446
495,-790014,-1064254
496,-790014,-1056062
497,-790014,-1047870
498,-790014,-1039678
499,-790014,-1031486
500,-790014,-1023294
501,-790014,-1015102
502,-790014,-1006910
503,-790014,-998718
504,-790014,-990526
505,-790014,-982334
506,-790014,-974142
507,-790014,-965950
508,-790014,-957758
509,-790014,-949566
510,-790014,-941374
511,-781822,-1211710
512,-781822,-1203518
513,-781822,-1195326
514,-781822,-1187134
515,-781822,-1178942
516,-781822,-1170750
517,-781822,-1162558
518,-781822,-1154366
519,-781822,-1146174
520,-781822,-1137982
521,-781822,-1129790
522,-781822,-1121598
523,-781822,-1113406
524,-781822,-1105214
525,-781822,-1097022
526,-781822,-1088830
527,-781822,-1080638
528,-781822,-1072446
529,-781822,-1064254
530,-781822,-1056062
531,-781822,-1047870
532,-781822,-1039678
533,-781822,-1031486
534,-781822,-1023294
535,-781822,-1015102
536,-781822,-1006910
537,-781822,-998718
538,-781822,-990526
539,-781822,-982334
540,-781822,-974142
541,-781822,-965950
542,-781822,-957758
543,-781822,-949566
544,-781822,-941374
545,-773630,-1211710
546,-773630,-1203518
547,-773630,-1195326
548,-773630,-1187134
549,-773630,-1178942
550,-773630,-1170750
551,-773630,-1162558
552,-773630,-1154366
553,-773630,-1146174
554,-773630,-1137982
555,-773630,-1129790
556,-773630,-1121598
557,-773630,-1113406
558,-773630,-1105214
559,-773630,-1097022
560,-773630,-1088830
561,-773630,-1080638
562,-773630,-1072446
563,-773630,-1064254
564,-773630,-1056062
565,-773630,-1047870
566,-773630,-1039678
567,-773630,-1031486
568,-773630,-1023294
569,-773630,-1015102
570,-773630,-1006910
571,-773630,-998718
572,-773630,-990526
573,-773630,-982334
574,-773630,-974142
575,-773630,-965950
576,-773630,-957758
577,-773630,-949566
578,-773630,-941374
579,-765438,-1211710
580,-765438,-1203518
581,-765438,-1195326
582,-765438,-1187134
583,-765438,-1178942
584,-765438,-1170750
585,-765438,-1162558
586,-765438,-1154366
587,-765438,-1146174
588,-765438,-1137982
589,-765438,-1129790
590,-765438,-1121598
591,-765438,-1113406
592,-765438,-1105214
593,-765438,-1097022
594,-765438,-1088830
595,-765438,-1080638
596,-765438,-1072446
597,-765438,-1064254
598,-765438,-1056062
599,-765438,-1047870
600,-765438,-1039678
601,-765438,-1031486
602,-765438,-1023294
603,-765438,-1015102
604,-765438,-1006910
605,-765438,-998718
606,-765438,-990526
607,-765438,-982334
608,-765438,-974142
609,-765438,-965950
610,-765438,-957758
611,-765438,-949566
612,-765438,-941374
613,-757246,-1211710
614,-757246,-1203518
615,-757246,-1195326
616,-757246,-1187134
617,-757246,-1178942
618,-757246,-1170750
619,-757246,-1162558
620,-757246,-1154366
621,-757246,-1146174
622,-757246,-1137982
623,-757246,-1129790
624,-757246,-1121598
625,-757246,-1113406
626,-757246,-1105214
627,-757246,-1097022
628,-757246,-1088830
629,-757246,-1080638
630,-757246,-1072446
631,-757246,-1064254
632,-757246,-1056062
633,-757246,-1047870
634,-757246,-1039678
635,-757246,-1031486
636,-757246,-1023294
637,-757246,-1015102
638,-757246,-1006910
639,-757246,-998718
640,-757246,-990526
641,-757246,-982334
642,-757246,-974142
643,-757246,-965950
644,-757246,-957758
645,-757246,-949566
646,-757246,-941374
647,-749054,-1211710
648,-749054,-1203518
649,-749054,-1195326
650,-749054,-1187134
651,-749054,-1178942
652,-749054,-1170750
653,-749054,-1162558
654,-749054,-1154366
655,-749054,-1146174
656,-749054,-1137982
657,-749054,-1129790
658,-749054,-1121598
659,-749054,-1113406
660,-749054,-1105214
661,-749054,-1097022
662,-749054,-1088830
663,-749054,-1080638
664,-749054,-1072446
665,-749054,-1064254
666,-749054,-1056062
667,-749054,-1047870
668,-749054,-1039678
669,-749054,-1031486
670,-749054,-1023294
671,-749054,-1015102
672,-749054,-1006910
673,-749054,-998718
674,-749054,-990526
675,-749054,-982334
676,-749054,-974142
677,-749054,-965950
678,-749054,-957758
679,-749054,-949566
680,-749054,-941374
681,-740862,-1211710
682,-740862,-1203518
683,-740862,-1195326
684,-740862,-1187134
685,-740862,-1178942
686,-740862,-1170750
687,-740862,-1162558
688,-740862,-1154366
689,-740862,-1146174
690,-740862,-1137982
691,-740862,-1129790
692,-740862,-1121598
693,-740862,-1113406
694,-740862,-1105214
695,-740862,-1097022
696,-740862,-1088830
697,-740862,-1080638
698,-740862,-1072446
699,-740862,-1064254
700,-740862,-1056062
701,-740862,-1047870
702,-740862,-1039678
703,-740862,-1031486
704,-740862,-1023294
705,-740862,-1015102
706,-740862,-1006910
707,-740862,-998718
708,-740862,-990526
709,-740862,-982334
710,-740862,-974142
711,-740862,-965950
712,-740862,-957758
713,-740862,-949566
714,-740862,-941374
715,-732670,-1211710
716,-732670,-1203518
717,-732670,-1195326
718,-732670,-1187134
719,-732670,-1178942
720,-732670,-1170750
721,-732670,-1162558
722,-732670,-1154366
723,-732670,-1146174
724,-732670,-1137982
725,-732670,-1129790
726,-732670,-1121598
727,-732670,-1113406
728,-732670,-1105214
729,-732670,-1097022
730,-732670,-1088830
731,-732670,-1080638
732,-732670,-1072446
